variable,saliency
VIL@entire_atmosphere,8.823373e-08
APCP_1hr_acc_fcst@surface,4.7489667e-08
VGRD@10m_above_ground,8.17445e-09
UGRD@10m_above_ground,7.601943e-09
GUST@surface,6.3645693e-09
UGRD@1000mb,6.2847763e-09
VGRD@1000mb,6.1298358e-09
UGRD@925mb,4.3564845e-09
VGRD@925mb,4.1049306e-09
UGRD@850mb,4.064654e-09
VGRD@850mb,3.909699e-09
UGRD@700mb,3.5966898e-09
TMP@500mb,3.4570085e-09
TMP@700mb,3.331449e-09
VGRD@700mb,3.3235144e-09
TMP@850mb,3.0070408e-09
TMP@2m_above_ground,2.7187703e-09
DPT@925mb,2.648284e-09
TMP@1000mb,2.637053e-09
TMP@925mb,2.608016e-09
DPT@1000mb,2.596368e-09
UGRD@500mb,2.5283096e-09
VGRD@500mb,2.46006e-09
DPT@500mb,2.3991096e-09
DPT@850mb,2.2905968e-09
DPT@700mb,2.1714426e-09
PWAT@entire_atmosphere_single_layer,2.1108073e-09
RH@2m_above_ground,1.7945064e-09
UGRD@250mb,1.603479e-09
RHPW@entire_atmosphere,1.5319124e-09
VGRD@250mb,1.5043564e-09
HCDC@high_cloud_layer,1.0146869e-09
MCDC@middle_cloud_layer,9.0253194e-10
LCDC@low_cloud_layer,6.790499e-10
TCDC@entire_atmosphere,6.744499e-10
HGT@1000mb,4.42681e-10
HGT@850mb,3.580477e-10
HGT@700mb,2.3626545e-10
HGT@500mb,1.5343399e-10
HGT@surface,1.3762308e-10
DSWRF@surface,1.05498076e-10
CAPE@surface,5.82699e-11
